id,genre
336804,18
393,28
393,80
393,53
3078,35
3078,10749
235,80
235,18
399174,12
399174,35
399174,16
31011,878
31011,18
31011,10749
31011,14
144,18
144,14
144,10749
24480,16
24480,10751
24480,35
152742,18
152742,10749
152742,80
152742,9648
435129,10752
435129,18
435129,16
33320,16
33320,18
33320,10749
25606,35
597,18
597,10749
84334,99
84334,10402
20126,27
20126,9648
20126,53
14574,10752
14574,18
581,12
581,18
581,37
396,18
115,35
115,80
183011,14
183011,878
183011,16
183011,28
183011,12
508439,16
508439,10751
508439,12
508439,35
508439,14
296096,18
296096,10749
404378,18
546554,35
546554,80
546554,9648
546554,53
546554,18
1018,53
1018,18
1018,9648
453,18
453,10749
6075,80
6075,53
113,18
71157,18
71157,53
234200,18
234200,35
200727,35
200727,10749
451945,18
265195,18
265195,53
265195,35
303,53
303,18
303,10749
47931,18
47931,28
47931,80
696,35
696,18
696,10749
826,18
826,36
826,10752
24238,16
24238,35
24238,18
9479,14
9479,16
9479,10751
317442,28
317442,10749
317442,16
16804,18
1646,80
1646,18
707886,35
707886,10402
707886,18
677638,10751
677638,16
677638,12
677638,35
677638,10770
5915,12
5915,18
169813,18
925,18
314365,18
314365,53
314365,36
596,18
80767,99
613,18
613,36
613,10752
410718,99
393559,16
393559,18
393559,10751
13855,80
13855,18
13855,53
873,18
59440,18
59440,28
142,18
142,10749
502033,18
502033,10402
13042,16
13042,10751
419478,10749
419478,18
335578,18
335578,36
335578,10752
1280,18
1280,10749
1280,80
805,18
805,27
553,80
553,18
553,53
12,16
12,10751
400160,16
400160,14
400160,12
400160,35
400160,10751
16859,16
16859,12
16859,18
16859,14
16859,10751
492188,18
5961,14
5961,18
5961,9648
703,35
703,18
703,10749
762,12
762,35
762,14
674,12
674,14
674,10751
80,18
80,10749
968,80
968,18
968,53
141,14
141,18
141,9648
336,37
203217,35
263115,28
263115,18
263115,878
665,36
665,12
665,18
585,16
585,35
585,10751
89,12
89,28
29458,18
29458,80
29458,36
990,18
14069,14
14069,16
14069,18
14069,878
27670,35
575452,18
575452,80
575452,53
123678,99
10775,18
10775,28
10775,53
10775,80
10775,9648
9421,35
382591,18
382591,35
11005,18
583,35
136,18
136,27
107,80
107,35
585244,10402
585244,18
556984,18
556984,36
556984,53
10193,16
10193,10751
10193,35
1480,80
1480,53
86837,18
86837,10749
61979,10749
61979,18
12444,12
12444,14
13929,16
13929,10751
149870,16
149870,10752
149870,36
149870,18
149870,10749
11902,35
11902,18
11902,10752
4977,16
4977,18
4977,9648
4977,878
4977,53
587,12
587,14
587,18
30018,80
30018,18
30018,9648
30018,53
11621,35
11621,16
11621,12
143,18
143,10752
2108,35
2108,18
503314,28
503314,878
503314,16
262,80
262,35
262,18
2118,80
2118,53
10191,14
10191,12
10191,16
10191,10751
277216,10402
277216,18
903,80
903,18
117,80
117,18
117,36
117,53
293310,99
466282,35
466282,10749
380,18
963,9648
963,80
963,53
166428,16
166428,10751
166428,12
49797,53
49797,27
84892,18
261,18
261,10749
177572,12
177572,10751
177572,16
177572,28
177572,35
40662,28
40662,16
40662,9648
9800,18
702,18
431693,16
431693,28
431693,12
431693,35
431693,10751
396535,28
396535,27
396535,53
8885,18
8885,16
8885,10752
8885,99
123025,28
123025,16
123025,9648
16306,16
16306,878
43949,10749
43949,18
1366,18
1366,28
110160,18
110160,10749
3114,37
11697,37
8327,18
525,10402
525,35
525,28
525,80
269149,16
269149,12
269149,10751
269149,35
49026,28
49026,80
49026,18
49026,53
1040,18
375794,35
137182,18
18079,80
1075,35
1075,10749
1075,80
322,53
322,80
322,18
322,9648
371645,12
371645,35
371645,18
10020,10749
10020,10751
10020,16
10020,14
12405,18
12405,10749
40619,16
40619,10751
1700,18
1700,53
845,80
845,53
1417,14
1417,18
1417,10752
108,18
45269,18
45269,36
273248,80
273248,18
273248,9648
273248,37
10229,18
10229,10749
792,18
792,10752
792,28
374473,18
164,35
164,18
164,10749
404,18
586863,80
586863,18
586863,53
284427,53
165,12
165,35
165,10751
165,878
22,12
22,14
22,28
14836,16
14836,10751
14836,14
2062,16
2062,35
2062,10751
2062,14
1607,18
1607,80
672,12
672,14
432976,99
1628,18
1628,10749
320007,80
320007,53
320007,10749
11482,18
11482,53
11482,27
334,18
10633,80
10633,18
10633,9648
10633,53
10315,12
10315,16
10315,35
10315,10751
14756,18
14756,28
14756,36
891,18
891,36
891,9648
891,53
426426,18
297222,35
297222,18
562,28
562,53
612706,35
612706,10402
44639,99
982,53
982,18
981,35
981,10749
342470,18
342470,10749
319075,99
653,18
653,14
653,27
9023,37
9023,16
9023,12
9023,35
9023,10751
9023,18
162,14
162,18
162,10749
9475,18
767,12
767,14
269,18
269,80
12429,16
12429,10751
4808,35
4808,9648
4808,10749
4808,53
318224,99
8832,18
6844,18
6844,36
576,12
576,37
205,18
205,36
205,10752
11686,36
11686,35
99,35
99,18
5528,18
1633,18
1633,35
96721,18
96721,28
38251,35
38251,10749
38251,10752
995,12
995,18
995,37
83666,35
83666,18
83666,10749
211954,35
211954,18
13363,878
13363,18
689249,99
15121,18
15121,10751
15121,10402
15121,10749
309,18
347201,28
347201,35
347201,16
675,12
675,14
675,9648
522627,28
522627,80
522627,35
793,80
793,9648
793,53
9806,28
9806,12
9806,16
9806,10751
51608,28
51608,53
51608,80
531,16
531,35
531,10751
167581,18
167581,10749
247,80
247,18
247,53
313297,16
313297,12
313297,10751
10835,28
10835,80
10835,18
10835,53
24428,878
24428,28
24428,12
68,35
68,878
10322,35
10322,18
9552,27
82702,14
82702,28
82702,12
82702,16
82702,35
82702,10751
37247,35
37247,18
1904,18
1904,10749
1904,36
343,35
343,18
343,10749
10331,27
10331,53
910,80
910,9648
910,53
16052,10402
16052,18
16052,36
13386,35
382748,35
382748,18
382748,10749
12548,35
12548,18
242582,80
242582,18
242582,53
24653,80
24653,18
288,37
288,53
272,28
272,80
272,18
100402,28
100402,12
100402,878
1592,80
1592,18
1592,9648
1592,53
286217,18
286217,12
286217,878
54186,18
54186,53
54186,9648
50531,35
50531,18
643,18
643,36
398978,80
398978,18
398978,36
13002,16
13002,10751
1879,18
1587,10749
1587,18
14784,12
14784,14
14784,18
688,18
688,10749
14813,10751
14813,16
11299,28
11299,16
11299,878
428493,10749
428493,18
8358,12
8358,18
1939,18
1939,9648
11474,28
11474,53
9377,35
4347,18
4347,10749
773,35
773,18
39452,99
1632,53
1632,80
1632,18
207703,80
207703,35
207703,28
207703,12
244063,18
484468,53
484468,28
283995,28
283995,12
283995,35
283995,878
808,16
808,35
808,14
808,12
9444,16
9444,10751
4995,18
49992,16
820,18
820,53
820,36
306819,18
469019,99
469019,35
180299,28
180299,80
180299,53
1654,28
1654,12
1654,10752
11113,18
11113,10749
11113,10402
2493,12
2493,10751
2493,14
2493,35
2493,10749
642,37
642,18
642,80
656690,99
656690,18
333339,878
333339,12
333339,28
812,16
812,10751
812,12
812,14
812,10749
19101,18
19101,10751
19101,14
520172,10749
520172,35
9343,18
9343,12
578,27
578,53
578,12
220,18
220,10749
11046,28
11046,12
11046,10752
1600,18
1600,9648
1600,14
871,878
871,12
871,18
871,28
824,18
824,10749
824,10402
13413,16
13413,10751
331781,99
331781,10402
44214,18
44214,53
44214,27
22881,18
746,18
746,36
483184,80
483184,18
483184,53
2013,18
900,35
900,10749
638,18
638,53
638,9648
244,12
244,18
244,27
221,18
198375,16
198375,18
198375,10749
31417,18
31417,27
31417,53
11321,18
4960,18
41411,18
41411,36
41411,10752
5143,35
5143,18
64,18
64,10749
1726,28
1726,878
1726,12
